Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10345315,1,"Monday, October 31, 2011 06:13:12 UTC",61.8199,-149.7165,1.5,68.90, 9,"Southern Alaska"
nc,71673371,1,"Monday, October 31, 2011 05:41:37 UTC",38.8433,-122.8280,1.8,2.30,31,"Northern California"
ak,10345306,1,"Monday, October 31, 2011 05:23:39 UTC",60.7023,-152.0183,1.5,36.00,10,"Southern Alaska"
us,b0006gq5,5,"Monday, October 31, 2011 04:48:44 UTC",-8.2231,106.7733,4.8,29.70,41,"south of Java, Indonesia"
us,b0006gqc,3,"Monday, October 31, 2011 04:45:43 UTC",-23.4109,-115.0063,5.1,10.00,164,"southern East Pacific Rise"
ak,10345295,1,"Monday, October 31, 2011 04:43:51 UTC",62.1632,-150.0445,2.3,57.80,31,"Central Alaska"
ci,11027501,0,"Monday, October 31, 2011 04:20:00 UTC",33.1580,-115.5927,1.2,0.40,12,"Southern California"
ci,11027485,0,"Monday, October 31, 2011 04:12:20 UTC",33.2795,-116.7777,1.0,13.70,51,"Southern California"
ak,10345285,1,"Monday, October 31, 2011 03:50:40 UTC",58.5350,-153.5384,2.2,65.60,14,"Kodiak Island region, Alaska"
nc,71673336,1,"Monday, October 31, 2011 03:49:06 UTC",36.6058,-121.2210,2.0,7.70,29,"Central California"
us,b0006gpr,6,"Monday, October 31, 2011 03:40:10 UTC",-25.6387,-71.6935,4.8,41.70,46,"off the coast of Antofagasta, Chile"
ak,10345282,1,"Monday, October 31, 2011 03:28:13 UTC",60.5127,-152.1848,2.1,80.40,12,"Southern Alaska"
nc,71673331,1,"Monday, October 31, 2011 02:46:35 UTC",37.6330,-121.8945,1.6,8.40,20,"San Francisco Bay area, California"
us,b0006gpi,5,"Monday, October 31, 2011 02:11:49 UTC",36.3832,70.7455,4.6,202.90,48,"Hindu Kush region, Afghanistan"
nc,71673306,0,"Monday, October 31, 2011 02:03:52 UTC",35.5087,-120.8095,1.4,5.30,17,"Central California"
ci,11027461,0,"Monday, October 31, 2011 01:43:32 UTC",34.3780,-118.6303,1.9,13.00,44,"Greater Los Angeles area, California"
us,b0006gpe,5,"Monday, October 31, 2011 01:31:40 UTC",35.7955,140.2958,4.7,65.10,25,"near the east coast of Honshu, Japan"
us,b0006gpf,3,"Monday, October 31, 2011 01:22:05 UTC",12.4187,48.0663,5.0,10.00,29,"Gulf of Aden"
ci,11027445,0,"Monday, October 31, 2011 00:08:38 UTC",34.0357,-117.2282,1.4,16.20,48,"Greater Los Angeles area, California"
nc,71673261,0,"Sunday, October 30, 2011 23:58:54 UTC",38.8305,-122.8378,1.0,1.70,16,"Northern California"
ci,11027437,0,"Sunday, October 30, 2011 23:29:42 UTC",35.0020,-117.7133,1.6,0.10,27,"Southern California"
us,b0006gp4,5,"Sunday, October 30, 2011 23:08:29 UTC",38.7833,142.4219,4.9,33.70,64,"near the east coast of Honshu, Japan"
hv,60279581,1,"Sunday, October 30, 2011 22:58:56 UTC",19.1440,-155.5520,1.9,7.10,33,"Island of Hawaii, Hawaii"
nc,71673231,0,"Sunday, October 30, 2011 22:52:35 UTC",37.5468,-118.8753,1.2,6.30,13,"Central California"
ci,11027429,0,"Sunday, October 30, 2011 21:21:27 UTC",32.9035,-116.3527,1.3,11.00,37,"Southern California"
ci,11027421,0,"Sunday, October 30, 2011 21:19:50 UTC",33.8855,-117.2620,1.6,25.30,24,"Greater Los Angeles area, California"
ci,11027413,0,"Sunday, October 30, 2011 21:13:49 UTC",32.9127,-116.3645,2.6,9.10,122,"Southern California"
ak,10345238,1,"Sunday, October 30, 2011 20:36:12 UTC",59.9055,-151.6462,2.3,23.60,25,"Kenai Peninsula, Alaska"
nc,71673181,0,"Sunday, October 30, 2011 19:43:08 UTC",35.7495,-121.1158,1.0,5.80, 7,"Central California"
nc,71673176,1,"Sunday, October 30, 2011 19:38:49 UTC",38.8333,-122.7995,1.4,2.60,26,"Northern California"
ci,11027405,0,"Sunday, October 30, 2011 19:27:16 UTC",33.2295,-116.7633,1.1,8.50,45,"Southern California"
ci,11027397,0,"Sunday, October 30, 2011 19:25:04 UTC",33.4155,-116.2512,1.4,8.40,15,"Southern California"
ci,11027373,0,"Sunday, October 30, 2011 19:07:18 UTC",33.3923,-115.8170,1.5,12.70,12,"Southern California"
nc,71673161,0,"Sunday, October 30, 2011 19:00:55 UTC",38.3473,-122.6588,1.5,6.00, 5,"Northern California"
us,b0006glr,8,"Sunday, October 30, 2011 18:53:43 UTC",-25.8121,-70.5671,5.7,31.40,129,"Antofagasta, Chile"
ci,11027365,0,"Sunday, October 30, 2011 18:51:05 UTC",33.1997,-115.5825,1.8,2.10,21,"Southern California"
nc,71673151,0,"Sunday, October 30, 2011 18:31:50 UTC",37.4857,-118.8043,1.0,10.60, 6,"Central California"
nc,71673136,1,"Sunday, October 30, 2011 18:03:20 UTC",35.9385,-120.0360,2.8,8.20,54,"Central California"
ci,11027349,0,"Sunday, October 30, 2011 18:01:34 UTC",33.4877,-116.5383,1.3,15.60,48,"Southern California"
nc,71673131,1,"Sunday, October 30, 2011 17:57:16 UTC",37.4133,-118.5553,2.2,18.00,29,"Central California"
ci,11027333,0,"Sunday, October 30, 2011 17:54:09 UTC",32.3218,-115.4958,2.5,3.50,17,"Baja California, Mexico"
ci,11027325,0,"Sunday, October 30, 2011 17:47:56 UTC",33.5758,-117.6295,1.5,7.90,13,"Greater Los Angeles area, California"
nc,71673111,0,"Sunday, October 30, 2011 17:26:09 UTC",37.4008,-118.4220,1.3,10.10,11,"Central California"
us,b0006gkx,7,"Sunday, October 30, 2011 16:58:41 UTC",2.6162,128.6977,4.7,190.20,20,"Halmahera, Indonesia"
nc,71673081,1,"Sunday, October 30, 2011 16:34:15 UTC",37.8708,-122.2500,1.7,8.90,36,"San Francisco Bay area, California"
ci,11027309,0,"Sunday, October 30, 2011 16:28:51 UTC",33.4708,-116.5717,1.5,11.90,72,"Southern California"
us,2011srbd,4,"Sunday, October 30, 2011 16:16:02 UTC",8.6984,58.2174,4.4,10.00,11,"Carlsberg Ridge"
ci,11027293,0,"Sunday, October 30, 2011 15:43:14 UTC",33.8668,-116.2293,1.5,28.50,16,"Southern California"
us,2011srbb,5,"Sunday, October 30, 2011 15:34:05 UTC",-9.5234,158.6351,4.7,10.00,15,"Solomon Islands"
pr,11303000,0,"Sunday, October 30, 2011 15:23:52 UTC",18.0729,-67.0039,2.2,22.00, 6,"Puerto Rico"
nc,71673041,1,"Sunday, October 30, 2011 14:49:50 UTC",38.8215,-122.7938,1.4,3.40,31,"Northern California"
ak,10345173,1,"Sunday, October 30, 2011 14:46:40 UTC",62.8155,-143.5587,2.5,0.00,18,"Central Alaska"
nc,71673016,0,"Sunday, October 30, 2011 13:52:30 UTC",39.8647,-122.8883,1.7,6.50,10,"Northern California"
nc,71673011,0,"Sunday, October 30, 2011 13:34:39 UTC",38.8675,-122.8257,1.0,0.00, 8,"Northern California"
nc,71673001,5,"Sunday, October 30, 2011 13:26:42 UTC",35.9753,-120.0228,3.5,0.00,50,"Central California"
nc,71672996,7,"Sunday, October 30, 2011 13:25:19 UTC",39.6037,-120.4727,3.8,14.00,17,"Northern California"
nc,71672991,0,"Sunday, October 30, 2011 13:02:14 UTC",36.4468,-121.0073,1.8,1.50,13,"Central California"
nc,71672981,1,"Sunday, October 30, 2011 12:56:18 UTC",38.8153,-122.8112,1.6,3.50,35,"Northern California"
hv,60279491,1,"Sunday, October 30, 2011 12:48:07 UTC",19.2940,-154.9970,1.7,37.30,47,"Hawaii region, Hawaii"
ci,11027269,0,"Sunday, October 30, 2011 12:44:19 UTC",33.1877,-115.5693,1.3,0.10,13,"Southern California"
us,b0006gju,9,"Sunday, October 30, 2011 11:52:27 UTC",-3.1111,101.4093,5.6,38.10,365,"southern Sumatra, Indonesia"
nn,00353240,8,"Sunday, October 30, 2011 11:43:34 UTC",37.4012,-117.0277,1.4,2.10,21,"Nevada"
us,b0006gjp,C,"Sunday, October 30, 2011 10:57:58 UTC",-14.3591,-75.9483,4.8,20.60,29,"near the coast of central Peru"
nc,71672891,0,"Sunday, October 30, 2011 10:32:30 UTC",36.1313,-121.5983,1.2,7.30, 6,"Central California"
ak,10345132,1,"Sunday, October 30, 2011 10:06:59 UTC",60.0424,-152.5323,2.5,15.80,10,"Southern Alaska"
ci,11027237,0,"Sunday, October 30, 2011 10:05:45 UTC",36.0308,-117.7693,2.1,3.70,11,"Central California"
nc,71672836,1,"Sunday, October 30, 2011 09:51:20 UTC",38.8345,-122.7755,2.4,2.50,51,"Northern California"
ci,11027229,0,"Sunday, October 30, 2011 09:32:11 UTC",33.2593,-116.3140,1.5,11.10,39,"Southern California"
us,b0006gj4,4,"Sunday, October 30, 2011 09:17:13 UTC",43.4079,-110.6639,2.0,5.10,32,"Wyoming"
ci,11027213,0,"Sunday, October 30, 2011 09:11:42 UTC",34.5942,-115.9322,2.3,0.00,36,"Southern California"
ak,10345313,2,"Sunday, October 30, 2011 09:02:23 UTC",52.3267,-164.8506,2.8,33.10,28,"south of Alaska"
nc,71672806,1,"Sunday, October 30, 2011 08:56:22 UTC",38.8107,-122.7895,1.1,2.90,27,"Northern California"
nn,00353230,8,"Sunday, October 30, 2011 08:07:03 UTC",38.8247,-119.5398,1.5,17.20,19,"Nevada"
nn,00353228,8,"Sunday, October 30, 2011 07:48:09 UTC",37.1182,-115.4207,1.5,7.00,16,"Nevada"
us,b0006gia,6,"Sunday, October 30, 2011 07:34:33 UTC",-47.4027,100.1214,4.5,10.00,13,"southeast Indian Ridge"
ak,10345108,1,"Sunday, October 30, 2011 07:24:50 UTC",60.2280,-152.5501,2.3,82.90, 8,"Southern Alaska"
ci,11027181,0,"Sunday, October 30, 2011 07:01:52 UTC",33.1892,-115.5717,1.9,1.80,29,"Southern California"
ci,11027173,0,"Sunday, October 30, 2011 06:58:44 UTC",33.1695,-115.5738,1.1,1.20,14,"Southern California"
ci,11027165,0,"Sunday, October 30, 2011 06:52:42 UTC",32.8363,-116.0010,1.4,0.40,19,"Southern California"
us,b0006ghx,4,"Sunday, October 30, 2011 06:30:04 UTC",35.3138,142.8031,4.5,10.00,27,"off the east coast of Honshu, Japan"
us,b0006gi2,6,"Sunday, October 30, 2011 06:28:51 UTC",15.5294,-90.2929,4.4,303.00,87,"Guatemala"
ak,10345101,1,"Sunday, October 30, 2011 06:27:50 UTC",60.4754,-143.8242,1.3,0.50, 5,"Southern Alaska"
nc,71672766,1,"Sunday, October 30, 2011 06:23:18 UTC",37.3998,-118.4225,2.3,11.40,27,"Central California"
us,b0006ghm,5,"Sunday, October 30, 2011 05:48:57 UTC",-17.0424,-178.3198,4.6,550.80,16,"Fiji region"
ak,10345086,1,"Sunday, October 30, 2011 05:24:17 UTC",63.1342,-151.2157,1.5,0.00, 7,"Central Alaska"
us,b0006ghd,9,"Sunday, October 30, 2011 05:24:07 UTC",37.6816,144.5306,5.2,9.90,253,"off the east coast of Honshu, Japan"
ak,10345082,1,"Sunday, October 30, 2011 05:21:56 UTC",63.1009,-151.2171,1.4,0.00, 5,"Central Alaska"
ak,10345076,1,"Sunday, October 30, 2011 05:15:09 UTC",66.2748,-146.6453,2.6,36.80,17,"northern Alaska"
us,b0006gh4,6,"Sunday, October 30, 2011 05:09:07 UTC",5.2279,125.4243,4.9,214.40,36,"Mindanao, Philippines"
nn,00353223,8,"Sunday, October 30, 2011 04:52:25 UTC",38.8235,-118.6048,1.9,1.50,23,"Nevada"
ak,10345073,2,"Sunday, October 30, 2011 04:39:15 UTC",51.5041,-174.8158,2.8,3.60, 5,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71672711,0,"Sunday, October 30, 2011 04:25:05 UTC",38.8418,-122.8290,1.1,1.40,15,"Northern California"
ak,10345068,1,"Sunday, October 30, 2011 04:13:49 UTC",63.5252,-151.0121,1.8,0.50, 8,"Central Alaska"
us,b0006ggt,3,"Sunday, October 30, 2011 04:01:27 UTC",-5.4293,147.1880,4.8,185.70,24,"eastern New Guinea region, Papua New Guinea"
ci,11027109,0,"Sunday, October 30, 2011 03:43:42 UTC",33.9163,-116.7210,1.8,17.80,99,"Southern California"
ak,10345062,2,"Sunday, October 30, 2011 03:41:24 UTC",52.1208,-169.9668,3.9,25.60,15,"Fox Islands, Aleutian Islands, Alaska"
us,b0006ggi,6,"Sunday, October 30, 2011 03:25:02 UTC",13.8054,-91.2416,4.4,60.30,43,"offshore Guatemala"
us,b0006ggh,6,"Sunday, October 30, 2011 03:23:45 UTC",25.3612,123.0040,5.5,215.70,287,"northeast of Taiwan"
ak,10345045,1,"Sunday, October 30, 2011 03:21:22 UTC",63.0004,-150.9281,2.3,110.20,36,"Central Alaska"
nc,71672681,0,"Sunday, October 30, 2011 03:11:12 UTC",36.5872,-121.1302,1.8,9.60,23,"Central California"
nc,71672651,1,"Sunday, October 30, 2011 02:13:35 UTC",36.5597,-121.0245,2.0,8.90,24,"Central California"
us,b0006gg7,4,"Sunday, October 30, 2011 02:10:47 UTC",-9.4057,-75.3951,4.9,31.80,131,"central Peru"
us,b0006gg5,6,"Sunday, October 30, 2011 02:10:40 UTC",-4.3482,144.3407,5.3,62.00,80,"near the north coast of New Guinea, Papua New Guinea"
ak,10345025,1,"Sunday, October 30, 2011 02:06:45 UTC",64.7534,-147.3059,2.8,48.30, 8,"Central Alaska"
us,b0006gg3,5,"Sunday, October 30, 2011 02:02:14 UTC",4.8918,96.1406,4.7,18.60,27,"northern Sumatra, Indonesia"
us,b0006gg1,5,"Sunday, October 30, 2011 01:55:05 UTC",38.4899,43.7112,4.5,6.60,40,"eastern Turkey"
nn,00353213,8,"Sunday, October 30, 2011 01:48:29 UTC",37.1328,-115.4212,1.7,0.20,18,"Nevada"
us,b0006gfz,7,"Sunday, October 30, 2011 01:44:26 UTC",-16.3029,-175.5204,4.4,329.40,86,"Tonga"
nc,71672641,1,"Sunday, October 30, 2011 01:09:59 UTC",38.7835,-122.7365,1.6,2.10,26,"Northern California"
ak,10345020,2,"Sunday, October 30, 2011 01:09:54 UTC",51.6640,-174.8070,2.2,57.90, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11027093,0,"Sunday, October 30, 2011 01:00:22 UTC",32.9345,-116.0798,1.8,26.80,14,"Southern California"
ak,10345009,1,"Saturday, October 29, 2011 23:26:35 UTC",60.4401,-142.9006,1.3,4.40,11,"Southern Alaska"
ak,10345002,1,"Saturday, October 29, 2011 23:04:41 UTC",61.0191,-150.6321,1.8,44.00, 7,"Southern Alaska"
nc,71672616,0,"Saturday, October 29, 2011 22:59:29 UTC",38.8273,-122.8522,1.0,2.10,20,"Northern California"
ci,11027085,0,"Saturday, October 29, 2011 22:29:33 UTC",34.2097,-117.2063,1.7,12.60,11,"Southern California"
us,b0006gep,A,"Saturday, October 29, 2011 22:24:24 UTC",38.7502,43.5914,4.9,10.80,101,"eastern Turkey"
us,b0006gej,4,"Saturday, October 29, 2011 22:16:02 UTC",36.6434,142.4581,4.9,33.60,44,"off the east coast of Honshu, Japan"
us,b0006gdw,8,"Saturday, October 29, 2011 21:59:53 UTC",-6.5113,105.3183,4.7,9.40,48,"Sunda Strait, Indonesia"
uu,10292158,2,"Saturday, October 29, 2011 21:58:50 UTC",39.4372,-111.2340,1.6,2.40, 8,"Utah"
ak,10344987,1,"Saturday, October 29, 2011 21:34:48 UTC",61.3969,-140.1013,2.2,0.00,18,"Southern Yukon Territory, Canada"
nc,71672581,1,"Saturday, October 29, 2011 21:32:37 UTC",36.4858,-120.8587,1.7,12.30,20,"Central California"
ak,10344982,2,"Saturday, October 29, 2011 21:17:11 UTC",52.0307,-174.0129,1.7,15.10, 9,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10344976,1,"Saturday, October 29, 2011 21:09:57 UTC",60.4176,-143.0162,2.0,35.90,10,"Southern Alaska"
pr,11302003,0,"Saturday, October 29, 2011 21:02:29 UTC",17.9440,-66.7210,1.3,19.00, 4,"Puerto Rico region"
ci,11027053,0,"Saturday, October 29, 2011 20:59:29 UTC",32.6277,-115.7163,2.0,6.70,14,"Baja California, Mexico"
uu,10292034,2,"Saturday, October 29, 2011 20:34:08 UTC",39.4353,-111.2310,1.7,0.10, 8,"Utah"
uu,10292024,2,"Saturday, October 29, 2011 20:24:10 UTC",38.0387,-112.8845,1.4,3.90, 4,"Utah"
ci,11027045,0,"Saturday, October 29, 2011 20:16:57 UTC",34.0222,-116.8248,1.5,14.00,72,"Southern California"
nc,71672566,0,"Saturday, October 29, 2011 20:07:42 UTC",38.8237,-122.7797,1.5,1.60,23,"Northern California"
ak,10344967,1,"Saturday, October 29, 2011 19:55:57 UTC",61.0935,-145.9046,1.3,5.80, 9,"Southern Alaska"
uw,10291952,1,"Saturday, October 29, 2011 19:52:01 UTC",47.8488,-122.5276,1.1,16.90, 9,"Seattle-Tacoma urban area, Washington"
us,b0006gcp,4,"Saturday, October 29, 2011 19:51:28 UTC",-0.8238,122.5008,4.5,25.10,19,"Sulawesi, Indonesia"
uu,10291943,2,"Saturday, October 29, 2011 19:43:56 UTC",39.4373,-111.2287,1.4,2.50, 7,"Utah"
ak,10344964,1,"Saturday, October 29, 2011 19:25:41 UTC",62.4283,-149.4751,2.0,18.70,10,"Central Alaska"
uu,10291923,2,"Saturday, October 29, 2011 19:23:38 UTC",39.4200,-111.2275,1.2,7.60, 7,"Utah"
ci,11027029,0,"Saturday, October 29, 2011 19:21:38 UTC",32.3688,-115.4850,2.4,1.80,31,"Baja California, Mexico"
nc,71672546,0,"Saturday, October 29, 2011 18:58:12 UTC",36.2563,-121.6795,1.0,6.70, 4,"Central California"
us,b0006gbl,4,"Saturday, October 29, 2011 18:45:51 UTC",38.5252,43.2840,4.4,16.90,35,"eastern Turkey"
nc,71672531,1,"Saturday, October 29, 2011 18:44:24 UTC",37.8300,-121.7803,2.4,10.80,51,"San Francisco Bay area, California"
ci,11027013,0,"Saturday, October 29, 2011 18:38:08 UTC",32.3562,-115.4932,2.5,1.90,25,"Baja California, Mexico"
us,b0006gb2,9,"Saturday, October 29, 2011 18:24:41 UTC",0.1326,-77.3997,4.3,23.80,24,"Colombia-Ecuador border region"
nc,71672521,1,"Saturday, October 29, 2011 18:17:41 UTC",38.8178,-122.7903,1.8,2.10,34,"Northern California"
nc,71672526,0,"Saturday, October 29, 2011 18:17:24 UTC",38.8210,-122.7928,1.2,2.60, 8,"Northern California"
ak,10344946,1,"Saturday, October 29, 2011 17:59:47 UTC",63.1791,-149.3215,1.8,79.90,10,"Central Alaska"
ci,11027005,0,"Saturday, October 29, 2011 17:58:57 UTC",33.9528,-117.2012,1.2,13.60,27,"Greater Los Angeles area, California"
uu,10291735,2,"Saturday, October 29, 2011 17:35:41 UTC",39.4325,-111.2350,1.3,4.90,10,"Utah"
ak,10344940,2,"Saturday, October 29, 2011 17:11:54 UTC",51.3909,-177.4259,3.9,50.00,10,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10344937,1,"Saturday, October 29, 2011 16:41:11 UTC",61.5459,-146.5180,1.5,21.50, 6,"Southern Alaska"
pr,11302002,0,"Saturday, October 29, 2011 15:54:20 UTC",17.9899,-66.4280,2.1,16.00, 4,"Puerto Rico"
ci,11026997,0,"Saturday, October 29, 2011 15:37:14 UTC",36.0388,-117.7280,1.4,4.10,12,"Central California"
nc,71672426,0,"Saturday, October 29, 2011 15:24:02 UTC",36.5453,-121.1400,1.7,7.40,18,"Central California"
ak,10344930,1,"Saturday, October 29, 2011 15:21:47 UTC",60.5299,-147.8740,1.9,14.80,12,"Southern Alaska"
uw,10291509,1,"Saturday, October 29, 2011 15:09:24 UTC",46.3783,-119.2754,1.3,5.40,10,"Washington"
uu,10291426,2,"Saturday, October 29, 2011 14:26:27 UTC",39.4362,-111.2315,1.6,2.80, 8,"Utah"
hv,60279221,1,"Saturday, October 29, 2011 14:16:09 UTC",19.3185,-155.1663,1.8,5.00,41,"Island of Hawaii, Hawaii"
ci,11026981,0,"Saturday, October 29, 2011 14:15:27 UTC",32.8470,-116.0495,1.6,6.60,51,"Southern California"
us,b0006g7i,5,"Saturday, October 29, 2011 14:13:58 UTC",-2.9176,100.0163,4.8,26.30,33,"Kepulauan Mentawai region, Indonesia"
nc,71672406,1,"Saturday, October 29, 2011 14:10:00 UTC",38.8217,-122.7920,1.9,3.40,44,"Northern California"
ci,11026973,0,"Saturday, October 29, 2011 14:08:06 UTC",33.9658,-117.2208,1.5,13.40,68,"Greater Los Angeles area, California"
ci,11026965,0,"Saturday, October 29, 2011 14:01:39 UTC",36.1047,-117.6602,1.6,3.90,25,"Central California"
us,b0006g8r,4,"Saturday, October 29, 2011 13:50:49 UTC",-0.1300,-78.3700,4.0,3.00, 0,"Ecuador"
uu,10291204,2,"Saturday, October 29, 2011 12:04:19 UTC",39.4380,-111.2177,1.3,7.40, 6,"Utah"
nc,71672361,1,"Saturday, October 29, 2011 11:25:59 UTC",38.7615,-122.7407,1.4,1.90,26,"Northern California"
ak,10344908,1,"Saturday, October 29, 2011 11:15:37 UTC",61.6110,-150.4678,2.2,27.70,21,"Southern Alaska"
ak,10344900,1,"Saturday, October 29, 2011 10:26:08 UTC",63.3802,-148.2022,2.0,87.20,21,"Central Alaska"
nc,71672346,1,"Saturday, October 29, 2011 09:58:29 UTC",38.8170,-122.8052,1.1,3.60,26,"Northern California"
ci,11026941,0,"Saturday, October 29, 2011 09:45:01 UTC",33.0017,-116.4080,2.2,7.40,100,"Southern California"
nc,71672311,0,"Saturday, October 29, 2011 08:59:00 UTC",36.3593,-120.9338,1.4,5.30,10,"Central California"
nc,71672306,1,"Saturday, October 29, 2011 08:37:42 UTC",35.5903,-120.8425,1.6,6.70,28,"Central California"
ci,11026917,0,"Saturday, October 29, 2011 08:33:07 UTC",33.2737,-116.2880,1.3,11.30,40,"Southern California"
us,b0006g48,8,"Saturday, October 29, 2011 08:31:05 UTC",-14.7153,-75.9462,4.7,19.60,41,"near the coast of central Peru"
ak,10344881,1,"Saturday, October 29, 2011 08:03:06 UTC",61.6456,-146.6422,1.7,19.50,14,"Southern Alaska"
nc,71672291,1,"Saturday, October 29, 2011 07:53:20 UTC",38.7765,-122.7693,1.5,0.80,25,"Northern California"
ci,11026901,0,"Saturday, October 29, 2011 07:46:58 UTC",33.4743,-117.2535,1.5,0.10,13,"Southern California"
us,b0006g41,4,"Saturday, October 29, 2011 07:34:52 UTC",-14.5379,167.2083,4.9,128.40,39,"Vanuatu"
us,b0006g43,4,"Saturday, October 29, 2011 07:30:52 UTC",12.5667,142.4751,4.6,131.10,31,"Mariana Islands region"
ak,10344871,1,"Saturday, October 29, 2011 07:29:19 UTC",57.2066,-154.9269,2.8,24.50,15,"Kodiak Island region, Alaska"
nc,71672281,0,"Saturday, October 29, 2011 07:18:42 UTC",39.1690,-122.8597,2.0,6.50,10,"Northern California"
nc,71672276,0,"Saturday, October 29, 2011 07:17:01 UTC",38.8472,-122.8228,1.2,1.80,23,"Northern California"
nc,71672271,0,"Saturday, October 29, 2011 07:15:05 UTC",37.8750,-122.2548,1.1,8.80,18,"San Francisco Bay area, California"
us,b0006g3p,5,"Saturday, October 29, 2011 06:59:41 UTC",-23.6735,171.2786,4.7,50.10,26,"southeast of the Loyalty Islands"
us,b0006g3j,4,"Saturday, October 29, 2011 06:24:44 UTC",38.2308,141.9337,4.9,50.00,251,"near the east coast of Honshu, Japan"
nc,71672256,1,"Saturday, October 29, 2011 06:14:18 UTC",36.5460,-121.1402,2.3,6.90,35,"Central California"
hv,60279186,1,"Saturday, October 29, 2011 06:10:52 UTC",19.9920,-155.4300,1.9,1.50,12,"Island of Hawaii, Hawaii"
nc,71672246,1,"Saturday, October 29, 2011 06:00:19 UTC",38.8168,-122.8042,2.0,3.50,44,"Northern California"
nc,71672231,0,"Saturday, October 29, 2011 05:37:53 UTC",38.0723,-122.1665,1.5,6.30,14,"San Francisco Bay area, California"
us,b0006g3a,5,"Saturday, October 29, 2011 05:33:45 UTC",-14.5241,-76.1298,4.8,22.40,59,"near the coast of central Peru"
nc,71672221,0,"Saturday, October 29, 2011 05:22:24 UTC",38.7883,-122.7455,1.2,1.60,19,"Northern California"
nc,71672216,0,"Saturday, October 29, 2011 04:48:50 UTC",36.5953,-121.1175,1.5,4.40,11,"Central California"
ak,10344845,1,"Saturday, October 29, 2011 04:25:27 UTC",61.2746,-148.3008,1.4,28.50,10,"Southern Alaska"
us,b0006g2x,6,"Saturday, October 29, 2011 04:23:36 UTC",-14.6679,-75.9201,4.8,19.10,28,"near the coast of central Peru"
hv,60279101,1,"Saturday, October 29, 2011 04:13:47 UTC",19.3722,-155.4840,1.7,8.50,33,"Island of Hawaii, Hawaii"
us,b0006g2r,5,"Saturday, October 29, 2011 04:13:34 UTC",45.7361,10.9348,4.4,11.60,32,"northern Italy"
us,b0006g2q,6,"Saturday, October 29, 2011 03:52:44 UTC",38.5036,43.2663,4.3,4.90,24,"eastern Turkey"
ci,11026853,0,"Saturday, October 29, 2011 03:26:31 UTC",34.0135,-117.0987,1.6,16.90,105,"Greater Los Angeles area, California"
nc,71672206,0,"Saturday, October 29, 2011 03:26:09 UTC",38.7702,-122.7368,1.2,2.70,18,"Northern California"
uu,10290308,2,"Saturday, October 29, 2011 03:08:55 UTC",44.4330,-110.5878,1.5,2.80, 9,"Yellowstone National Park, Wyoming"
ci,11026845,0,"Saturday, October 29, 2011 03:05:19 UTC",32.9078,-116.2427,2.2,7.30,96,"Southern California"
nc,71672196,0,"Saturday, October 29, 2011 02:32:57 UTC",35.4657,-120.7312,1.5,0.00,10,"Central California"
ak,10344826,1,"Saturday, October 29, 2011 02:23:36 UTC",63.9560,-149.3330,1.9,0.00,14,"Central Alaska"
uu,10290145,2,"Saturday, October 29, 2011 01:45:59 UTC",44.6947,-110.4245,1.7,2.20,12,"Yellowstone National Park, Wyoming"
ak,10344815,1,"Saturday, October 29, 2011 01:41:14 UTC",63.3799,-151.7762,2.1,20.30,13,"Central Alaska"
nc,71672181,1,"Saturday, October 29, 2011 01:40:41 UTC",38.8187,-122.7940,1.1,3.20,29,"Northern California"
